"","rmse","train_time","test_time"
"1",0.12296,2.39799999999923,0.0119999999988067
"2",0.11907,2.51999999999862,0.0129999999990105
"3",0.12275,2.25,0.0129999999990105
"4",0.11869,3.00400000000081,0.0239999999994325
"5",0.11136,1.80299999999988,0.0129999999990105
"6",0.1297,2.86599999999999,0.0120000000006257
"7",0.12804,2.42400000000089,0.0130000000008295
"8",0.11963,2.14099999999962,0.0129999999990105
"9",0.1288,2.1140000000014,0.0140000000010332
"10",0.11985,2.46500000000015,0.0130000000008295
