"","x"
"minutes_of_life",-0.254634849640455
"would_be",-0.0251720544898584
"cliché",-0.197793981323165
"unbelievable",-0.216429647937502
"can't_believe",-0.0245435005565247
"make_movie",-0.0946342894832628
"only_good_thing",-0.325118762704954
"embarrassed",-0.38890165542668
"irritating",-0.373791906681467
"forgettable",-0.991052546660526
"they're",-0.0082975304466679
"come_on",-0.101092668598894
"thinking",-0.0285056342659973
"mildly",-0.653221848883861
"would_been",-0.188756565673238
"minutes_into",-0.360409392357023
"hoping",-0.48050533127826
"idiotic",-0.244460553330328
"enough",-0.00770944253156591
"attempt_to",-0.0612819420504592
"paid",-0.24680512850467
"but_fails",-0.744862234321597
"no_real",-0.0335224475229022
"worthless",-0.470072807657431
"just_not",-0.75711152994918
"mst3k",-0.809166683077717
"whole_thing",-0.110488475984506
"five_minutes",-0.0674296131198373
"point",-0.0268968503403229
"but_no",-0.257373706484911
"this_movie_so_bad",-0.345866934796964
"horrid",-0.146827583087251
"whole_movie",-0.131618730050351
"drivel",-0.262344434790226
"doesn't_work",-0.237172307451471
"with_no",-0.119612946185789
"inept",-0.128041201351291
"sucked",-0.110101619910721
"not_watch",-0.155279837215035
"appalling",-0.168923805065061
"grade",-0.107828142830246
"clichés",-0.101106774137717
"this_horrible",-0.199501145294535
"turkey",-0.276719233026714
"not_recommend",-1.48473344481437
"to_write",-0.172659840142175
"straight_to",-0.0853634071589991
"basically",-0.165954962946944
"even_worth",-0.00461598613376729
"should_been",-0.141969701972605
"useless",-0.207608546451528
"any_of_characters",-0.386593653008729
"might",-0.0810740588814673
"that's_about",-0.624882365852988
"insulting",-0.295306937994336
"lacks",-0.532042392710626
"save_money",-0.712266379557985
"some_kind_of",-0.0736725812747166
"downhill",-0.460405213591697
"most_boring",-0.38871003566433
"2_out_of_10",-0.963896339522093
"stupidity",-0.0393483850489072
"rip_off_of",-0.556551941870453
"killed",-0.00984001958710347
"zombies",-0.126995443841966
"movie_sucks",-0.143956531340808
"obnoxious",-0.355898527481318
"tripe",-0.521625907007327
"nudity",-0.0598124618782299
"ludicrous",-0.28962065872306
"honestly",-0.0298223255950056
"rest",-0.0197497374071645
"just_isn't",-0.960179584917413
"writers",-0.423013573578251
"not_that",-0.0795988070848036
"trying_to_be",-0.320868369717803
"rented_this",-0.249245223905798
"more_like",-0.0178871369816676
"nothing_in",-0.165652336834314
"little_to",-0.240642231204692
"this_movie_bad",-0.157046433311094
"shallow",-0.411376327063362
"boredom",-0.170908372819652
"suppose",-0.0573699858524604
"endless",-0.347865849015985
"that_would",-0.151937842021612
"money_back",-0.413832790494974
"obvious",-0.0739449231891109
"about_as",-0.131519880204339
"bore",-0.789177673044186
"ashamed",-0.470376926594778
"good_idea",-0.00619261951806285
"effort",-0.0601630135083235
"moronic",-0.073597777244543
"tries_to_be",-0.42462340224177
"camera",-0.114670348426832
"so_called",-0.123705081748295
"for_free",-0.154074690508644
"contrived",-0.163138253632366
"pretentious",-0.564602078414918
"first_of_all",-0.0146582405228976
"dreck",-0.731463812628735
"ripped",-0.099274808536019
"neither",-0.202499471700365
"unintentional",-0.16250286421839
"continuity",-0.155383158178163
"not_watch_this",-0.0920852265838836
"potential",-0.221138950709938
"below",-0.209025920712971
"just_stupid",-0.0793552626426812
"mystery_science",-1.08848135442979
"should_never",-0.0292495348688353
"disaster",-0.0341952512532291
"disjointed",-0.641606419736798
"ugly",-0.0847046702967165
