"","x"
"cast_excellent",0.00671436792885328
"good_as",0.00626859972666417
"awe",0.00569987257600779
"memorable",0.00490914916975561
"effectively",0.00469213590032586
"louis",0.00197269323965689
"ever",0.00182645597543044
"may",0.00105208880446975
"to_perfection",0.00100209269909345
"blend_of",0.000982187330847786
